source_id,class,publisher,date,title,url,decisive_support,limitation
M01,PEER_REVIEWED_SUPPORTED,Rethlefsen et al.,2021,PRISMA-S,https://doi.org/10.5195/jmla.2021.962,"Report databases platforms strategies dates and deduplication","Reporting guidance; does not validate this review or H1"
M02,PEER_REVIEWED_SUPPORTED,McGowan et al.,2016,PRESS 2015 Guideline Statement,https://doi.org/10.1016/j.jclinepi.2016.01.021,"Reviews question translation operators headings text words syntax and limits","No independent PRESS reviewer was used"
M03,PEER_REVIEWED_SUPPORTED,Garousi et al.,2019,Multivocal literature review guidelines,https://doi.org/10.1016/j.infsof.2018.09.006,"Appraise grey literature separately from formal evidence","Method guidance; does not establish Regula outcomes"
M04,PRIMARY_REGULATORY_EVIDENCE,IETF,2022,RFC 9309,https://www.rfc-editor.org/rfc/rfc9309.html,"Defines robots exclusion rules and error/caching handling","Robots rules are not access authorisation"
M05,PRIMARY_REGULATORY_EVIDENCE,UK Cabinet Office,current,Open Contracting,https://www.gov.uk/government/publications/open-contracting,"Find a Tender publishes OCDS 1.1.5 data with filters","Public procurement is only an analogue"
S01,PRIMARY_BUYER_EVIDENCE,Zurich UK,current,Mid-market delegated authority guide,https://www.zurich.co.uk/-/media/business/documents/mid_market_delegated_authority_guide.pdf,"Zurich checks outsourced claims arrangements against governance requirements before approval","Delegated authority; not an AI software supplier or H1"
S02,PRIMARY_BUYER_EVIDENCE,Admiral Group,2024,Net Zero Transition Plan,https://admiralgroup.co.uk/Admiral_Group_Net_Zero_Transition_Plan,"A supplier due-diligence questionnaire is used during onboarding and monitoring","Climate-focused excerpt; no AI claims evidence"
S03,PRIMARY_BUYER_EVIDENCE,Allianz UK,2021,Modern Slavery Statement,https://www.allianz.co.uk/content/dam/onemarketing/azuk/allianzcouk/about-us/docs/pdfs/modern-slavery-statement-2021.pdf,"All onboarded suppliers undergo procurement due diligence and continuing checks","General/modern-slavery controls; not H1"
S04,VENDOR_CLAIMED,Ebix Europe,current,ComplianceHub,https://www.ebixeurope.co.uk/products/compliancehub/,"Delegated-authority due diligence questionnaires and entity relationships are product functions","Vendor claim; different transaction"
S05,PRIMARY_BUYER_EVIDENCE,Lloyd's,current,Delegated Audit Manager,https://www.lloyds.com/market-resources/delegated-authorities/systems-and-tools/delegated-audit-manager,"Coordinates audits of coverholders and delegated claims administrators","Lloyd's market workflow; not H1 software onboarding"
S06,VENDOR_CLAIMED,Conveyor,current,Questionnaire Automation,https://docs.conveyor.com/docs/what-is-questionnaire-automation,"Imports and drafts questionnaire answers from an evidence library with human review","Security/RFP workflow; vendor performance claims unverified"
S07,VENDOR_CLAIMED,ValidMind,current,Insurance solution,https://validmind.com/solutions/insurance/,"Offers AI governance validation and workflow automation for insurers","Vendor claim; no comparative validation against Regula"
S08,NAMED_SUPPLIER_EVIDENCE,UK DSIT hosting Deloitte case,2023,Enhanced due diligence for third-party models,https://www.gov.uk/ai-assurance-techniques/deloitte-enhanced-due-diligence-processes-for-third-party-models,"Deloitte reports that a financial-and-insurance client reviewed a provider's data modelling development and operation for new-product approval","Vendor-contributed case; client and use case unnamed; no claims triage burden budget or source-code request"
S09,PRIMARY_REGULATORY_EVIDENCE,ICO,current,Contracts and third parties AI audit framework,https://ico.org.uk/for-organisations/advice-and-services/audits/data-protection-audit-framework/toolkits/artificial-intelligence/contracts-and-third-parties/,"Lists due diligence on accuracy bias documentation testing contracts and monitoring","Regulatory expectation; not buyer demand or H1"
