round,utc_time,lane,exact_queries,returned,screened,included,new_category,post_round_routing
1,2026-08-05T11:22:31Z,buyer artefacts,"site:admiralgroup.co.uk filetype:pdf AI supplier due diligence claims procurement onboarding || site:aviva.com filetype:pdf supplier onboarding questionnaire AI claims due diligence || site:allianz.co.uk filetype:pdf supplier due diligence artificial intelligence claims || site:zurich.co.uk filetype:pdf supplier onboarding AI claims questionnaire",17,17,3,yes,"H1 join absent; seek attributable supplier burden"
2,2026-08-05T11:22:39Z,supplier burden,"UK insurtech claims AI insurer procurement due diligence delay onboarding case study supplier || \"claims triage\" insurer \"due diligence\" supplier case study UK || insurtech founder insurer procurement onboarding took months claims AI UK || site:insurtechuk.org insurer procurement due diligence claims AI supplier",39,39,0,no,"Burden unsettled; inspect substitutes"
3,2026-08-05T11:22:48Z,substitutes,"Ebix ComplianceHub insurance delegated authority due diligence platform official || site:lloyds.com Delegated Audit Manager Delegated Data Manager official supplier claims || Conveyor security questionnaire automation official AI answers trust portal || Credo AI ValidMind Saidot Advai insurance AI governance model validation official",20,20,4,yes,"Adjacent substitutes found; return to exact transaction"
4,2026-08-05T11:23:02Z,exact transaction,"\"production onboarding\" insurer \"claims triage\" AI supplier || \"production-onboarding\" \"claims triage\" insurer || \"AI-assisted claims triage\" supplier insurer due diligence || \"claims-triage\" \"supplier onboarding\" insurance",15,15,0,no,"Exact join absent; test public analogues"
5,2026-08-05T11:23:09Z,public procurement,"site:find-tender.service.gov.uk/Notice insurance \"claims triage\" artificial intelligence supplier || site:contractsfinder.service.gov.uk/notice insurance \"claims triage\" AI || site:find-tender.service.gov.uk/Notice insurer AI claims automation procurement || site:contractsfinder.service.gov.uk/notice insurer machine learning claims procurement",18,18,0,no,"Public analogues only; test technical evidence"
6,2026-08-05T11:23:18Z,observability,"insurer AI supplier due diligence requirements model card source code testing monitoring human oversight UK || UK insurer third party AI questionnaire source code evidence model validation supplier || insurance AI procurement questionnaire technical documentation monitoring bias testing supplier || general insurer AI vendor due diligence source code CI test evidence",20,20,2,yes,"General technical relevance found; start targeted null sequence"
7,2026-08-05T11:23:28Z,exact atom,"\"small UK AI supplier\" insurer claims onboarding evidence || \"UK general insurer\" \"AI supplier\" \"claims triage\" due diligence",12,12,0,no,"No H1 join; inspect official bodies"
8,2026-08-05T11:23:30Z,official exact,"site:lloyds.com \"AI supplier\" claims \"due diligence questionnaire\" || site:abi.org.uk \"AI supplier\" claims onboarding evidence",0,0,0,no,"No results; inspect named insurers"
9,2026-08-05T11:23:31Z,buyer exact,"site:admiralgroup.co.uk OR site:aviva.com OR site:zurich.co.uk \"source code\" \"AI supplier\" claims || site:allianz.co.uk \"model validation\" supplier AI claims",2,2,0,no,"Unrelated internal model only; stop successor searches"

